subjects,activities_name,tbodyacc-mean()-x,tbodyacc-mean()-y,tbodyacc-mean()-z,tbodyacc-std()-x,tbodyacc-std()-y,tbodyacc-std()-z,tgravityacc-mean()-x,tgravityacc-mean()-y,tgravityacc-mean()-z,tgravityacc-std()-x,tgravityacc-std()-y,tgravityacc-std()-z,tbodyaccjerk-mean()-x,tbodyaccjerk-mean()-y,tbodyaccjerk-mean()-z,tbodyaccjerk-std()-x,tbodyaccjerk-std()-y,tbodyaccjerk-std()-z,tbodygyro-mean()-x,tbodygyro-mean()-y,tbodygyro-mean()-z,tbodygyro-std()-x,tbodygyro-std()-y,tbodygyro-std()-z,tbodygyrojerk-mean()-x,tbodygyrojerk-mean()-y,tbodygyrojerk-mean()-z,tbodygyrojerk-std()-x,tbodygyrojerk-std()-y,tbodygyrojerk-std()-z,tbodyaccmag-mean(),tbodyaccmag-std(),tgravityaccmag-mean(),tgravityaccmag-std(),tbodyaccjerkmag-mean(),tbodyaccjerkmag-std(),tbodygyromag-mean(),tbodygyromag-std(),tbodygyrojerkmag-mean(),tbodygyrojerkmag-std(),fbodyacc-mean()-x,fbodyacc-mean()-y,fbodyacc-mean()-z,fbodyacc-std()-x,fbodyacc-std()-y,fbodyacc-std()-z,fbodyaccjerk-mean()-x,fbodyaccjerk-mean()-y,fbodyaccjerk-mean()-z,fbodyaccjerk-std()-x,fbodyaccjerk-std()-y,fbodyaccjerk-std()-z,fbodygyro-mean()-x,fbodygyro-mean()-y,fbodygyro-mean()-z,fbodygyro-std()-x,fbodygyro-std()-y,fbodygyro-std()-z,fbodyaccmag-mean(),fbodyaccmag-std(),fbodybodyaccjerkmag-mean(),fbodybodyaccjerkmag-std(),fbodybodygyromag-mean(),fbodybodygyromag-std(),fbodybodygyrojerkmag-mean(),fbodybodygyrojerkmag-std()
1,WALKING,0.265696921,-0.018298173,-0.107845735,-0.545795331,-0.367716218,-0.502645747,0.744867412,-0.082556258,0.07233987,-0.959859436,-0.951150627,-0.925817591,0.07709305,0.016590844,-0.009107587,-0.524721923,-0.470412404,-0.717322275,-0.020876406,-0.088072273,0.086264167,-0.686555715,-0.45097981,-0.597496137,-0.09711202,-0.041716481,-0.047139399,-0.637812687,-0.634472245,-0.664591978,-0.453632944,-0.497096402,-0.453632944,-0.497096402,-0.545431612,-0.515922168,-0.475404786,-0.499839594,-0.639517433,-0.652050771,-0.531895161,-0.406435449,-0.596411165,-0.553060617,-0.39015094,-0.498583092,-0.547348892,-0.507343618,-0.695305114,-0.543979776,-0.466251677,-0.737861933,-0.623219182,-0.505309434,-0.553529065,-0.708263421,-0.429825833,-0.650476162,-0.478448523,-0.589710231,-0.499075766,-0.54182308,-0.53500277,-0.56657667,-0.645970655,-0.685811263
2,STANDING,0.273113116,-0.019132318,-0.115649958,-0.605586497,-0.428962987,-0.589360062,0.660782867,-0.147219887,0.134865335,-0.963015508,-0.96003356,-0.945365384,0.078535316,0.007087712,0.000755761,-0.557809603,-0.49187589,-0.741885388,-0.051703066,-0.056842019,0.087259942,-0.710648928,-0.722943674,-0.634888928,-0.087558749,-0.043398684,-0.055754183,-0.671679103,-0.783595467,-0.674611933,-0.535281801,-0.552812546,-0.535281801,-0.552812546,-0.587777445,-0.512115278,-0.614771055,-0.680584888,-0.746559539,-0.740088734,-0.573770911,-0.432566581,-0.630081222,-0.619788103,-0.464723863,-0.600678615,-0.56168205,-0.508903799,-0.71574533,-0.595105613,-0.509147544,-0.767087015,-0.638717695,-0.722068979,-0.60159489,-0.73458854,-0.727167741,-0.683114495,-0.514569861,-0.646662308,-0.509746433,-0.518800798,-0.699742945,-0.725310338,-0.751615078,-0.744194981
3,WALKING,0.27342872,-0.017856067,-0.106492632,-0.623413602,-0.480015921,-0.653625579,0.707814353,-0.026059048,0.04809379,-0.966457566,-0.944564537,-0.926966278,0.070173126,0.014466433,-0.000526819,-0.635484688,-0.557211868,-0.79606624,-0.024849068,-0.074356531,0.08668755,-0.699262196,-0.763022182,-0.70948344,-0.099155461,-0.040192394,-0.052117826,-0.689328429,-0.842659862,-0.743028501,-0.563140803,-0.59122478,-0.563140803,-0.59122478,-0.650182434,-0.607658214,-0.643150122,-0.674010291,-0.784056656,-0.803661364,-0.62573329,-0.501779939,-0.699656829,-0.623805015,-0.50275364,-0.657443766,-0.645893497,-0.582949919,-0.780101644,-0.657844056,-0.559851186,-0.810806017,-0.64209772,-0.775144985,-0.670734709,-0.719276623,-0.758505287,-0.751008876,-0.579076454,-0.663079839,-0.604752108,-0.615643695,-0.716822144,-0.703839403,-0.810085499,-0.810032719
4,STANDING,0.274183111,-0.014808155,-0.107521431,-0.605211728,-0.509929384,-0.709492736,0.706593043,0.112591195,0.164130897,-0.962636979,-0.9414168,-0.941403426,0.078863785,0.003513409,-0.007373751,-0.631853083,-0.584063205,-0.843353231,-0.028941791,-0.078722991,0.095717487,-0.701397703,-0.798235749,-0.726374197,-0.107859316,-0.040042757,-0.05780893,-0.723788618,-0.902502593,-0.748369141,-0.561582135,-0.60655605,-0.561582135,-0.60655605,-0.656116312,-0.647249967,-0.656291094,-0.706738494,-0.819191368,-0.844187064,-0.628806379,-0.525834566,-0.755235429,-0.597551324,-0.534661524,-0.708764044,-0.652023078,-0.601696224,-0.825154871,-0.644622005,-0.593855152,-0.860544668,-0.641881978,-0.831527531,-0.689308946,-0.721749187,-0.782885736,-0.767089573,-0.602098038,-0.672948342,-0.635019005,-0.666506719,-0.745650755,-0.732586305,-0.83883321,-0.863096864
5,WALKING,0.27917796,-0.015483346,-0.105661737,-0.507691011,-0.402724906,-0.64644364,0.698153719,0.11231311,0.09216072,-0.964629109,-0.939973778,-0.942078679,0.08410199,0.001765683,-0.002953711,-0.575890536,-0.506544359,-0.784561995,-0.029451687,-0.077431645,0.086626712,-0.709955677,-0.705638307,-0.606589817,-0.103522877,-0.049062452,-0.050625816,-0.66258131,-0.77411427,-0.564680771,-0.460866416,-0.521623452,-0.460866416,-0.521623452,-0.58931387,-0.589031268,-0.602770285,-0.664078384,-0.707383518,-0.734187493,-0.551237705,-0.440232432,-0.696171811,-0.492829886,-0.422162171,-0.649351211,-0.604769869,-0.55099197,-0.768762358,-0.584013627,-0.491500434,-0.798835564,-0.632239301,-0.717062188,-0.537329127,-0.735738577,-0.702290391,-0.669353687,-0.528503023,-0.59425953,-0.573176177,-0.613485124,-0.677355756,-0.715731148,-0.74882931,-0.735610602
6,WALKING,0.272376614,-0.017569704,-0.115994541,-0.505086085,-0.36840367,-0.672512005,0.688702064,0.016205546,0.047519999,-0.958898709,-0.950934886,-0.937910224,0.08138336,0.000479281,-0.002258963,-0.53146831,-0.454437497,-0.738955208,-0.043361179,-0.07061291,0.097313029,-0.65380066,-0.626252073,-0.599910233,-0.082915997,-0.045492101,-0.053361032,-0.546009968,-0.677635981,-0.526908306,-0.464770007,-0.483790606,-0.464770007,-0.483790606,-0.551413652,-0.502935062,-0.549494852,-0.579837818,-0.621936159,-0.644474485,-0.506174926,-0.39204141,-0.683725945,-0.506680277,-0.396677794,-0.694365207,-0.549394274,-0.503558974,-0.720867158,-0.555346159,-0.437837459,-0.755751144,-0.537201442,-0.621188725,-0.507604208,-0.69286244,-0.63323623,-0.673020315,-0.473974924,-0.57091029,-0.494882316,-0.516711262,-0.579130051,-0.657368674,-0.651886909,-0.660175875
7,WALKING,0.270211698,-0.018790489,-0.112492375,-0.577518325,-0.546403365,-0.456473642,0.681289121,-0.042022145,0.034216071,-0.956538179,-0.955312554,-0.923304724,0.083182957,0.007609098,-0.007917257,-0.615131377,-0.622997416,-0.664336861,-0.051871693,-0.064607711,0.097767172,-0.687155474,-0.652408658,-0.66334076,-0.094203738,-0.041440141,-0.061030793,-0.7017312,-0.674920115,-0.750808706,-0.511312037,-0.510669879,-0.511312037,-0.510669879,-0.622815768,-0.550560231,-0.581899898,-0.598670796,-0.713191348,-0.658017845,-0.593011289,-0.563547785,-0.531005941,-0.572347541,-0.567046977,-0.460792123,-0.63752194,-0.641687334,-0.642515717,-0.626785745,-0.628531631,-0.684856439,-0.643767578,-0.630419275,-0.655083355,-0.703883647,-0.671161923,-0.698949519,-0.518323879,-0.583819796,-0.55336001,-0.550683255,-0.628877273,-0.650923648,-0.668879188,-0.668963362
8,WALKING,0.278268888,-0.014453707,-0.109006309,-0.748654888,-0.56345061,-0.76455451,0.601782572,0.187298247,0.177007409,-0.974751332,-0.955912054,-0.956116882,0.068609537,0.004964157,-0.011021165,-0.758913964,-0.622728559,-0.839104347,-0.024659926,-0.074439465,0.081176835,-0.722590643,-0.737675053,-0.758998748,-0.107118838,-0.036876527,-0.060258202,-0.73588313,-0.817212596,-0.821631316,-0.684607147,-0.71328703,-0.684607147,-0.71328703,-0.725727509,-0.729136162,-0.663265893,-0.720938161,-0.790885297,-0.825828347,-0.744952162,-0.581854533,-0.779333526,-0.750599893,-0.581953413,-0.775167074,-0.766583223,-0.662348428,-0.825870985,-0.77281133,-0.605587692,-0.850822301,-0.683114151,-0.75756827,-0.758361298,-0.736277289,-0.728609463,-0.781839005,-0.693568388,-0.77087789,-0.715745793,-0.74923644,-0.741679154,-0.755554747,-0.817455545,-0.850242419
8,WALKING_UPSTAIRS,0.266674049,-0.020221603,-0.105614723,-0.492827509,-0.23294076,-0.355279828,0.672365454,-0.05506755,0.03287422,-0.943108468,-0.94438549,-0.905264809,0.092704837,-0.001372015,-0.024377661,-0.47649215,-0.369514157,-0.575477616,0.01895755,-0.100127875,0.054790512,-0.620116118,-0.48024537,-0.376704872,-0.103800903,-0.041841422,-0.0572174,-0.641858248,-0.610128464,-0.627616234,-0.350982094,-0.467415039,-0.350982094,-0.467415039,-0.430092516,-0.474901934,-0.37446745,-0.505532708,-0.609841365,-0.656008681,-0.493100898,-0.262394129,-0.426764776,-0.495451225,-0.268071852,-0.370711174,-0.496470871,-0.405368968,-0.545511445,-0.503753699,-0.375199658,-0.604806208,-0.556923953,-0.477139862,-0.398930834,-0.642092981,-0.488490067,-0.430017097,-0.413399661,-0.586776859,-0.427796629,-0.546655473,-0.538348072,-0.572007931,-0.639438448,-0.70429979
9,STANDING,0.270313842,-0.020946656,-0.101233826,-0.555656545,-0.575887895,-0.506111776,0.670845546,-0.0467447,0.104353653,-0.958784666,-0.949938115,-0.920554318,0.084017143,0.006784858,-0.001029981,-0.578305161,-0.678923872,-0.721610095,-0.070131815,-0.072988431,0.109092913,-0.676452393,-0.670498221,-0.587557692,-0.089225493,-0.039734442,-0.053402884,-0.761710867,-0.773273879,-0.744656038,-0.505183471,-0.553038255,-0.505183471,-0.553038255,-0.621608245,-0.608862145,-0.550201867,-0.663198385,-0.762979581,-0.786176892,-0.579258404,-0.610267804,-0.592119123,-0.547995745,-0.586766083,-0.501074007,-0.621377141,-0.699766615,-0.702931928,-0.572819894,-0.679065855,-0.739139923,-0.63986322,-0.683924288,-0.612680463,-0.690689896,-0.667203221,-0.619468634,-0.553186448,-0.624456827,-0.609193722,-0.611619343,-0.700863098,-0.697729433,-0.786473954,-0.801296293
